protein,protein_label,parameter,n_positive_mapt,pearson_r,pearson_p,spearman_rho,spearman_p,slope,slope_p,spearman_p_fdr
syn,Synuclein,r,196,0.162363628567842,0.022986486210222052,0.36200623162189516,1.8522576217421176e-07,0.06668873022355645,0.022986486210221858,3.704515243484235e-07
syn,Synuclein,beta,196,-0.008665412603614388,0.9040537626935596,-0.30227350604435455,1.6629388624956878e-05,-0.00566986326362005,0.9040537626935584,2.217251816660917e-05
tau,Tau,r,326,-0.37302174415297684,3.3523989886514378e-12,-0.2925279797030796,7.466372378659606e-08,-0.19822419340887792,3.3523989886514644e-12,2.9865489514638425e-07
tau,Tau,beta,326,0.23651048029684293,1.5939913699506952e-05,0.15717003433331458,0.004447024572605275,0.14418731437958848,1.5939913699506552e-05,0.004447024572605275
