protein,protein_label,parameter,n,pearson_r,pearson_p,spearman_rho,spearman_p,slope,slope_p,spearman_p_fdr
syn,Synuclein,r,332,-0.7237119465796853,4.197866170272786e-55,0.07833342023273956,0.15441499966953082,-0.6772325785524271,4.197866170272134e-55,0.18529799960343699
syn,Synuclein,beta,332,-0.6423595023215112,5.054692314557939e-40,-0.4260681166734383,4.490209726051017e-16,-0.484943067079741,5.054692314557829e-40,2.69412583563061e-15
syn,Synuclein,gamma,332,-0.29999116385200614,2.483946465693868e-08,-0.14623956756232082,0.007609444789196055,-0.3015981507334164,2.4839464656938896e-08,0.011414167183794082
tau,Tau,r,369,-0.28784035454982015,1.8014065860670514e-08,-0.1981239192532936,0.00012764098285125732,-0.13619006983953327,1.8014065860670422e-08,0.00038292294855377194
tau,Tau,beta,369,0.08809413395751456,0.09107039400648252,0.042600288517573776,0.41454655340400826,0.04835613913577408,0.09107039400648259,0.41454655340400826
tau,Tau,gamma,369,-0.2400510002111002,3.1018995923624082e-06,-0.15423748244532973,0.0029726899540643073,-0.2858348513080064,3.1018995923624705e-06,0.005945379908128615
