protein,parameter,amyloid,trim_quantile_each_tail,ab42_low_cutoff,ab42_high_cutoff,n_before_trim_finite_ab42,n_after_trim,n,pearson_r,pearson_p,spearman_r,spearman_p,pearson_p_fdr,spearman_p_fdr
syn,r,ab42,0.025,-0.8050126154,0.9885585015187497,243,229,229,-0.011549022499476428,0.862008623954144,0.2112867606647148,0.0012988251018709116,0.957720487085684,0.007792950611225469
syn,beta,ab42,0.025,-0.8050126154,0.9885585015187497,243,229,229,-0.012895996259755037,0.8461038595971931,0.05538057218230693,0.4042165244957012,0.957720487085684,0.4850598293948415
syn,gamma,ab42,0.025,-0.8050126154,0.9885585015187497,243,229,229,0.08457621180501165,0.2022552825973604,0.17645918479509962,0.0074343088386927755,0.5226455668174061,0.022302926516078327
tau,r,ab42,0.025,-1.8034110080833332,1.1170677305000003,271,257,257,-0.0033231335582025734,0.957720487085684,0.09425546896208487,0.1318052282526587,0.957720487085684,0.19770784237898803
tau,beta,ab42,0.025,-1.8034110080833332,1.1170677305000003,271,257,257,-0.07032369338186426,0.2613227834087031,-0.02944162293005157,0.6385077895677598,0.5226455668174061,0.6385077895677598
tau,gamma,ab42,0.025,-1.8034110080833332,1.1170677305000003,271,257,257,-0.15013328672886692,0.016007030936431015,-0.15444232987964887,0.01318549750706258,0.09604218561858609,0.026370995014125164
