dataset,label,main_n_parameter_rows,main_max_rhat,main_mean_rhat,main_parameter_rows_gt_1_01,main_parameter_rows_gt_1_05,main_regions_total,main_regions_pass,main_active_regions_total,main_active_regions_pass,all_n_parameter_rows,all_max_rhat,all_mean_rhat,all_parameter_rows_gt_1_01,all_parameter_rows_gt_1_05,all_regions_total,all_regions_pass,all_active_regions_total,all_active_regions_pass,alpha_rows_gt_1_05,alpha_max_rhat,beta_rows_gt_1_05,beta_max_rhat,gamma_rows_gt_1_05,gamma_max_rhat
syn_app,Syn APP,1236,3.269047848708847,1.0238088185312484,261,34,412,396,325,315,2060,3.269047848708847,1.0237341809950036,425,58,412,390,325,309,14,3.269047848708847,9,2.907568837494513,11,2.2201714744134446
syn_mapt,Syn MAPT,1236,3.4182464145803646,1.0638688263757299,328,99,412,372,304,287,2060,3.5427906243879117,1.0684696880269877,531,169,412,364,304,279,37,3.047292334829867,29,3.4182464145803646,33,2.89721700085371
tau_app,Tau APP,1236,1.065058645294608,1.004272193444298,91,3,412,411,363,362,2060,1.0777680327643997,1.0037284143807546,121,6,412,408,363,359,1,1.0531770967389074,1,1.065058645294608,1,1.0637248197043525
tau_mapt,Tau MAPT,1236,1.1676537164193517,1.0067600047711256,177,21,412,401,354,343,2060,1.2324913090907272,1.006539631053995,273,36,412,395,354,337,7,1.1676537164193517,8,1.1117707382188535,6,1.0950739702798675
