dataset,label,main_n_parameter_rows,main_max_rhat,main_mean_rhat,main_parameter_rows_gt_1_01,main_parameter_rows_gt_1_05,main_regions_total,main_regions_pass,main_active_regions_total,main_active_regions_pass,all_n_parameter_rows,all_max_rhat,all_mean_rhat,all_parameter_rows_gt_1_01,all_parameter_rows_gt_1_05,all_regions_total,all_regions_pass,all_active_regions_total,all_active_regions_pass,alpha_rows_gt_1_05,alpha_max_rhat,beta_rows_gt_1_05,beta_max_rhat,gamma_rows_gt_1_05,gamma_max_rhat
syn_app,Syn APP,1236,1.0475354017926457,1.0063164789964751,216,0,412,399,325,318,2060,1.0929581173721743,1.0062426455730116,353,6,412,393,325,312,0,1.0473890059258817,0,1.0459071454713949,0,1.0475354017926457
syn_mapt,Syn MAPT,1236,1.0493740114127126,1.0066101865342048,230,0,412,384,304,299,2060,1.1284106861740604,1.006733564617647,366,10,412,376,304,291,0,1.0493740114127126,0,1.03996093015268,0,1.035731822897038
tau_app,Tau APP,1236,1.04931851816395,1.0041407410561962,88,0,412,412,363,363,2060,1.0777680327643997,1.003644293916147,118,3,412,409,363,360,0,1.046482378076168,0,1.0487842200961217,0,1.04931851816395
tau_mapt,Tau MAPT,1236,1.049307474798478,1.005423099509331,157,0,412,407,354,349,2060,1.1321785975857377,1.0053047958856525,239,8,412,400,354,342,0,1.0431023371437949,0,1.042214432796707,0,1.049307474798478
